logged_at_utc,gameDate,gameId,matchup,pick,kalshi_abbr,ask,win_prob,conviction,ev_cents,kelly_frac,stake_dollars,contracts,status,result,pnl_dollars,settled_at_utc,order_id,order_status
2026-06-25T22:10:02Z,20260625,20260625_HOU@DET,Houston Astros @ Detroit Tigers,Detroit Tigers,DET,0.5300,0.5640,5.5,1.4,0.0181,1.57,2,lost,no,-1.10,2026-07-01T19:55:38Z,5ba351f8-2464-4ef9-a3bc-bcb38e5f45f9,
2026-06-25T22:40:02Z,20260625,20260625_TEX@TOR,Texas Rangers @ Toronto Blue Jays,Texas Rangers,TEX,0.4400,0.5860,2.5,12.6,0.0652,5.37,12,won,yes,6.48,2026-07-01T19:55:38Z,9f45ec2d-e624-4214-bd1a-36a2db25aa63,
2026-06-26T22:30:02Z,20260626,20260626_WAS@BAL,Washington Nationals @ Baltimore Orioles,Washington Nationals,WSH,0.4500,0.5860,2.5,11.6,0.0618,5.46,12,lost,no,-5.64,2026-07-01T19:55:38Z,99453a8c-f304-422d-9373-bc79b2614b9c,
2026-06-26T22:40:02Z,20260626,20260626_SEA@CLE,Seattle Mariners @ Cleveland Guardians,Cleveland Guardians,CLE,0.5100,0.5860,2.5,5.6,0.0388,3.21,6,lost,no,-3.18,2026-07-01T19:55:38Z,b7bd0119-6796-493a-8bf2-ec38c15af0c8,
2026-06-26T22:40:02Z,20260626,20260626_ARI@TB,Arizona Diamondbacks @ Tampa Bay Rays,Arizona Diamondbacks,AZ,0.4500,0.5640,4.5,9.4,0.0518,4.29,9,lost,no,-4.23,2026-07-01T19:55:38Z,27d087a3-c2d1-426b-8714-c238a81872b0,
2026-06-27T01:10:03Z,20260626,20260626_OAK@LAA,Oakland Athletics @ Los Angeles Angels,Los Angeles Angels,LAA,0.4900,0.5640,5.5,5.4,0.0363,2.74,5,lost,no,-2.55,2026-07-01T19:55:38Z,3d138448-3556-4f9a-a02f-5947cd160acd,
2026-06-27T16:40:02Z,20260627,20260627_HOU@DET,Houston Astros @ Detroit Tigers,Houston Astros,HOU,0.4600,0.5860,3.5,10.6,0.0583,4.25,9,won,yes,4.68,2026-07-01T19:55:38Z,ec8a9a3d-2cdd-434c-b6fb-0c7ccaacb980,
2026-06-27T19:40:02Z,20260627,20260627_PHI@NYM,Philadelphia Phillies @ New York Mets,Philadelphia Phillies,PHI,0.4600,0.5860,2.5,10.6,0.0583,4.00,8,lost,no,-3.84,2026-07-01T19:55:38Z,281cb023-970b-4458-b103-7950ddb65de0,
2026-06-27T22:30:02Z,20260627,20260627_WAS@BAL,Washington Nationals @ Baltimore Orioles,Baltimore Orioles,BAL,0.5100,0.5860,2.5,5.6,0.0388,2.85,5,lost,no,-2.65,2026-07-01T19:55:38Z,9afc6b1b-a941-4b8e-9a69-3e5f650ceb2c,
2026-06-28T00:30:03Z,20260627,20260627_ATL@SF,Atlanta Braves @ San Francisco Giants,Atlanta Braves,ATL,0.4600,0.5860,3.5,10.6,0.0583,4.13,8,lost,no,-3.84,2026-07-01T19:55:38Z,8e34b255-440a-4f58-bb38-b8b45f751224,
2026-06-28T01:10:02Z,20260627,20260627_OAK@LAA,Oakland Athletics @ Los Angeles Angels,Los Angeles Angels,LAA,0.5200,0.5860,2.5,4.6,0.0344,2.30,4,won,yes,1.84,2026-07-01T19:55:38Z,0cfcc199-30c2-4814-85eb-02347fda7b32,
2026-06-28T17:00:04Z,20260628,20260628_CIN@PIT,Cincinnati Reds @ Pittsburgh Pirates,Cincinnati Reds,CIN,0.4500,0.5860,2.5,11.6,0.0618,4.24,9,lost,no,-4.23,2026-07-01T19:55:38Z,1a1d9597-e315-41f1-8692-420bd0a665da,
2026-06-28T17:10:03Z,20260628,20260628_TEX@TOR,Texas Rangers @ Toronto Blue Jays,Texas Rangers,TEX,0.4600,0.5640,4.5,8.4,0.0481,3.10,6,won,yes,3.12,2026-07-01T19:55:38Z,77ff3114-1ec7-4ca6-b9bb-0bbe58978ad4,
2026-06-28T17:40:03Z,20260628,20260628_MIA@STL,Miami Marlins @ St. Louis Cardinals,Miami Marlins,MIA,0.4700,0.5860,2.5,9.6,0.0547,3.37,7,lost,no,-3.43,2026-07-01T19:55:38Z,1bd7ee67-9691-47a8-9491-c2865c8cddfb,
2026-06-28T19:40:03Z,20260628,20260628_LAD@SD,Los Angeles Dodgers @ San Diego Padres,San Diego Padres,SD,0.4500,0.5860,2.5,11.6,0.0618,3.59,7,lost,no,-3.29,2026-07-01T19:55:38Z,da7fb4e5-2e34-40ef-9df8-91eb99dd7416,
2026-06-28T22:50:04Z,20260628,20260628_NYY@BOS,New York Yankees @ Boston Red Sox,Boston Red Sox,BOS,0.5100,0.5640,4.5,3.4,0.0276,1.67,3,won,yes,1.41,2026-07-01T19:55:38Z,db938acb-bd3d-468d-bc90-0b750e6f7fb0,
2026-06-29T22:00:03Z,20260629,20260629_CHW@BAL,Chicago White Sox @ Baltimore Orioles,Chicago White Sox,CWS,0.4600,0.5860,2.5,10.6,0.0583,3.61,7,won,yes,3.64,2026-07-01T19:55:38Z,9f3cec1e-43fd-4b4e-bcef-e65b6a91a7fe,
2026-06-29T22:40:02Z,20260629,20260629_TEX@CLE,Texas Rangers @ Cleveland Guardians,Texas Rangers,TEX,0.4200,0.5860,2.5,14.6,0.0716,4.19,9,won,yes,5.04,2026-07-01T19:55:38Z,847e35cc-9079-442e-9fab-b6352123d175,
2026-06-29T23:40:03Z,20260629,20260629_MIN@HOU,Minnesota Twins @ Houston Astros,Minnesota Twins,MIN,0.4500,0.5640,4.5,9.4,0.0518,2.83,6,won,yes,3.18,2026-07-01T19:55:38Z,5e6f62ed-9af1-4acc-b68c-75928d46e3b3,
