logged_at_utc,gameDate,gameId,dog,ticker,price_at_cross,inning,dog_runs,opp_runs,deficit,win_expectancy,edge_cents,we_positive,status,result,settled_at_utc
2026-06-26T00:54:02Z,20260625,20260625_HOU@DET,Detroit Tigers,KXMLBGAME-26JUN251840HOUDET-DET,0.0900,9,0,2,2,,,False,lost,no,2026-07-01T19:55:38Z
2026-06-27T00:52:02Z,20260626,20260626_ARI@TB,Arizona Diamondbacks,KXMLBGAME-26JUN261910AZTB-AZ,0.1000,7,1,3,2,,,False,lost,no,2026-07-01T19:55:38Z
2026-06-27T01:10:03Z,20260626,20260626_WAS@BAL,Washington Nationals,KXMLBGAME-26JUN261905WSHBAL-WSH,0.0700,7,1,3,2,,,False,lost,no,2026-07-01T19:55:38Z
2026-06-27T01:20:03Z,20260626,20260626_SEA@CLE,Cleveland Guardians,KXMLBGAME-26JUN261910SEACLE-CLE,0.0900,8,1,3,2,,,False,lost,no,2026-07-01T19:55:38Z
2026-06-27T23:26:02Z,20260627,20260627_PHI@NYM,Philadelphia Phillies,KXMLBGAME-26JUN271610PHINYM-PHI,0.0600,7,2,5,3,,,False,lost,no,2026-07-01T19:55:38Z
2026-06-28T01:54:04Z,20260627,20260627_ATL@SF,Atlanta Braves,KXMLBGAME-26JUN272105ATLSF-ATL,0.0700,3,0,5,5,,,False,lost,no,2026-07-01T19:55:38Z
2026-06-28T18:16:03Z,20260628,20260628_CIN@PIT,Cincinnati Reds,KXMLBGAME-26JUN281335CINPIT-CIN,0.0900,3,0,4,4,,,False,lost,no,2026-07-01T19:55:38Z
2026-06-28T20:18:02Z,20260628,20260628_MIA@STL,Miami Marlins,KXMLBGAME-26JUN281415MIASTL-MIA,0.0900,8,1,2,1,,,False,lost,no,2026-07-01T19:55:38Z
2026-06-28T21:32:02Z,20260628,20260628_LAD@SD,San Diego Padres,KXMLBGAME-26JUN281610LADSD-SD,0.0900,5,1,4,3,,,False,lost,no,2026-07-01T19:55:38Z
2026-06-30T03:04:02Z,20260629,20260629_SF@ARI,San Francisco Giants,KXMLBGAME-26JUN292140SFAZ-SF,0.1000,5,1,4,3,,,False,lost,no,2026-07-01T19:55:38Z
2026-06-30T23:54:02Z,20260630,20260630_DET@NYY,New York Yankees,KXMLBGAME-26JUN301905DETNYY-NYY,0.0900,3,1,6,5,,,False,lost,no,2026-07-01T19:55:38Z
2026-07-01T03:28:03Z,20260630,20260630_LAA@SEA,Los Angeles Angels,KXMLBGAME-26JUN302140LAASEA-LAA,0.1000,6,0,1,1,,,False,lost,no,2026-07-01T19:55:38Z
2026-07-01T18:12:02Z,20260701,20260701_CHW@BAL,Chicago White Sox,KXMLBGAME-26JUL011235CWSBAL-CWS,0.1000,5,1,4,3,,,False,lost,no,2026-07-01T19:55:38Z
