date,event,home,away,predictedWinner,actualWinner,winner_correct,predictedSpread,casinoSpread,casinoFavoredTeamName,predictedTotal,casinoTotal,kalshi_pick_close,kalshi_opp_close,kalshi_pick_result
2026-06-17,KXMLBGAME-26JUN172140PITATH,Oakland Athletics,Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,1,-4,1.5,Pittsburgh Pirates,8,10.5,0.555,0.455,yes
2026-06-17,KXMLBGAME-26JUN172140BALSEA,Seattle Mariners,Baltimore Orioles,Seattle Mariners,Baltimore Orioles,0,2,-1.5,Seattle Mariners,6,7.5,0.555,0.455,no
2026-06-17,KXMLBGAME-26JUN172005COLCHC,Chicago Cubs,Colorado Rockies,Chicago Cubs,Chicago Cubs,1,2,-1.5,Chicago Cubs,4,10,0.655,0.355,yes
2026-06-17,KXMLBGAME-26JUN171940CLEMIL,Milwaukee Brewers,Cleveland Guardians,Milwaukee Brewers,Milwaukee Brewers,1,1,-1.5,Milwaukee Brewers,7,7.5,0.535,0.46499999999999997,yes
2026-06-17,KXMLBGAME-26JUN171905CWSNYY,New York Yankees,Chicago White Sox,New York Yankees,New York Yankees,1,3,-1.5,New York Yankees,7,8.5,0.615,0.385,yes
2026-06-17,KXMLBGAME-26JUN171915SFATL,Atlanta Braves,San Francisco Giants,Atlanta Braves,San Francisco Giants,0,2,,,6,,0.565,0.435,no
2026-06-17,KXMLBGAME-26JUN171845TORBOS,Boston Red Sox,Toronto Blue Jays,Toronto Blue Jays,Toronto Blue Jays,1,-3,-1.5,Boston Red Sox,7,9.5,0.475,0.535,yes
2026-06-17,KXMLBGAME-26JUN171540LAAAZ,Arizona Diamondbacks,Los Angeles Angels,Los Angeles Angels,Arizona Diamondbacks,0,-1,-1.5,Arizona Diamondbacks,5,9,0.385,0.615,no
2026-06-17,KXMLBGAME-26JUN171510TBLAD,Los Angeles Dodgers,Tampa Bay Rays,Los Angeles Dodgers,Los Angeles Dodgers,1,1,-1.5,Los Angeles Dodgers,3,7,0.595,0.405,yes
2026-06-17,KXMLBGAME-26JUN171410DETHOU,Houston Astros,Detroit Tigers,Detroit Tigers,Houston Astros,0,-1,1.5,Detroit Tigers,3,8.5,0.505,0.495,no
2026-06-17,KXMLBGAME-26JUN171415SDSTL,St. Louis Cardinals,San Diego Padres,San Diego Padres,San Diego Padres,1,-2,-1.5,St. Louis Cardinals,6,10,0.455,0.545,yes
2026-06-17,KXMLBGAME-26JUN171305MIAPHI,Philadelphia Phillies,Miami Marlins,Miami Marlins,Miami Marlins,1,-1,1.5,Miami Marlins,5,9.5,0.475,0.525,yes
2026-06-17,KXMLBGAME-26JUN171305KCWSH,Washington Nationals,Kansas City Royals,Washington Nationals,Kansas City Royals,0,2,-1.5,Washington Nationals,8,10.5,0.555,0.455,no
2026-06-17,KXMLBGAME-26JUN171240NYMCIN,Cincinnati Reds,New York Mets,New York Mets,New York Mets,1,-4,1.5,New York Mets,8,9,0.555,0.445,yes
2026-06-16,KXMLBGAME-26JUN162210TBLAD,Los Angeles Dodgers,Tampa Bay Rays,Los Angeles Dodgers,Los Angeles Dodgers,1,2,-1.5,Los Angeles Dodgers,4,8,0.575,0.425,yes
2026-06-16,KXMLBGAME-26JUN162140LAAAZ,Arizona Diamondbacks,Los Angeles Angels,Los Angeles Angels,Los Angeles Angels,1,-2,1.5,Los Angeles Angels,8,8.5,0.495,0.505,yes
